case,source_doc_id,title,court,date,numcites_api,numcitedby_api,citations_count,error
The_Madhya_Pradesh_Madhya_Kshetra_vs_Bapuna_Alcobrew_Private_Limited_on_4_November_2024,20172656,"The Madhya Pradesh Madhya Kshetra ... vs Bapuna Alcobrew Private Limited on 4 November, 2024",Supreme Court of India,2024-11-04,20,0,20,
The_Patna_Municipal_Corporation_vs_M_S_Tribro_Ad_Bureau_on_16_October_2024,79253796,"The Patna Municipal Corporation vs M/S Tribro Ad Bureau on 16 October, 2024",Supreme Court of India,2024-10-16,42,0,42,
The_State_Of_Himachal_Pradesh_vs_Yogendra_Mohan_Sengupta_on_11_January_2024,157051080,"The State Of Himachal Pradesh vs Yogendra Mohan Sengupta on 11 January, 2024",Supreme Court of India,2024-01-11,92,0,92,
The_State_Of_Madhya_Pradesh_Home_vs_Ramjan_Khan_on_25_October_2024,121846834,"The State Of Madhya Pradesh Home ... vs Ramjan Khan on 25 October, 2024",Supreme Court of India,2024-10-25,16,0,16,
The_State_Of_Punjab_vs_Bhagwantpal_Singh_Alias_Bhagwant_Singh_on_10_July_2024,155202664,"The State Of Punjab vs Bhagwantpal Singh Alias Bhagwant Singh ... on 10 July, 2024",Supreme Court of India,2024-07-10,18,0,18,
The_State_Of_Punjab_vs_Davinder_Singh_on_1_August_2024,155595286,"The State Of Punjab vs Davinder Singh on 1 August, 2024",Supreme Court of India,2024-08-01,150,0,150,
The_State_Of_Telangana_vs_Mohd_Abdul_Qasim_Died_Per_Lrs_on_18_April_2024,94522888,"The State Of Telangana vs Mohd. Abdul Qasim (Died) Per Lrs. on 18 April, 2024",Supreme Court of India,2024-04-18,64,0,64,
The_State_Of_West_Bengal_vs_Union_Of_India_on_10_July_2024,6397862,"The State Of West Bengal vs Union Of India on 10 July, 2024",Supreme Court of India,2024-07-10,64,0,64,
Tirith_Kumar_vs_Daduram_on_19_December_2024,179507118,"Tirith Kumar vs Daduram on 19 December, 2024",Supreme Court of India,2024-12-19,29,0,29,
Tusharbhai_Rajnikantbhai_Shah_vs_State_Of_Gujarat_on_7_August_2024,26306097,"Tusharbhai Rajnikantbhai Shah vs State Of Gujarat on 7 August, 2024",Supreme Court of India,2024-08-07,41,0,41,
Union_Of_India_And_Ors_vs_Prohlad_Guha_Etc_on_1_August_2024,99755236,"Union Of India And Ors vs Prohlad Guha . Etc on 1 August, 2024",Supreme Court of India,2024-08-01,18,0,18,
Union_Of_India_vs_Shishu_Pal_Shiv_Pal_on_23_July_2024,165563836,"Union Of India vs Shishu Pal @ Shiv Pal on 23 July, 2024",Supreme Court of India,2024-07-23,16,0,16,
V_S_Palanivel_vs_P_Shriram_Cs_Liquidator_on_28_August_2024,166046346,"V.S. Palanivel vs P. Shriram Cs Liquidator on 28 August, 2024",Supreme Court of India,2024-08-28,67,0,67,
Vakil_Ahmad_vs_The_State_Of_Uttar_Pradesh_Home_on_1_May_2024,171772661,"Vakil Ahmad vs The State Of Uttar Pradesh Home ... on 1 May, 2024",Supreme Court of India,2024-05-01,96,0,96,
Vanshika_Yadav_vs_Union_Of_India_on_2_August_2024,44343595,"Vanshika Yadav vs Union Of India on 2 August, 2024",Supreme Court of India,2024-08-02,9,0,9,
Vasantha_Dead_Thr_L_R_vs_Rajalakshmi_Rajam_Dead_Thr_Lrs_on_13_February_2024,153305688,"Vasantha (Dead) Thr. L.R. vs Rajalakshmi @ Rajam (Dead) Thr. Lrs. on 13 February, 2024",Supreme Court of India,2024-02-13,31,0,31,
Vijay_Singh_Vijay_Kr_Sharma_vs_The_State_Of_Bihar_on_25_September_2024,160241724,"Vijay Singh @ Vijay Kr. Sharma vs The State Of Bihar on 25 September, 2024",Supreme Court of India,2024-09-25,23,0,23,
Vijay_Singh_Vijay_Kr_Sharma_vs_The_State_Of_Bihar_on_4_October_2024,81232058,"Vijay Singh @ Vijay Kr. Sharma vs The State Of Bihar on 4 October, 2024",Supreme Court of India,2024-10-04,23,0,23,
Vinod_Jaswantray_Vyas_Dead_Through_vs_The_State_Of_Gujarat_on_9_July_2024,147344792,"Vinod Jaswantray Vyas (Dead) Through ... vs The State Of Gujarat on 9 July, 2024",Supreme Court of India,2024-07-09,30,0,30,
Vishal_Tiwari_vs_Union_Of_India_on_3_January_2024,188573380,"Vishal Tiwari vs Union Of India on 3 January, 2024",Supreme Court of India,2024-01-03,18,0,18,
Yash_Developers_vs_Harihar_Krupa_Co_Operative_Housing_on_30_July_2024,95492559,"Yash Developers vs Harihar Krupa Co Operative Housing ... on 30 July, 2024",Supreme Court of India,2024-07-30,21,0,21,
Yash_Tuteja_vs_Union_Of_India_on_8_April_2024,121980532,"Yash Tuteja vs Union Of India on 8 April, 2024",Supreme Court of India,2024-04-08,18,0,18,
Ajay_Singh_vs_Khacheru_on_2_January_2025,176150958,"Ajay Singh vs Khacheru on 2 January, 2025",Supreme Court of India,2025-01-02,7,0,7,
Amresh_Shrivastava_vs_The_State_Of_Madhya_Pradesh_on_1_April_2025,198709090,"Amresh Shrivastava vs The State Of Madhya Pradesh on 1 April, 2025",Supreme Court of India,2025-04-01,6,0,6,
Arun_vs_State_Of_Madhya_Pradesh_on_27_March_2025,114278440,"Arun vs State Of Madhya Pradesh on 27 March, 2025",Supreme Court of India,2025-03-27,3,0,3,
Baban_Shankar_Daphal_vs_The_State_Of_Maharashtra_on_22_January_2025,102821303,"Baban Shankar Daphal vs The State Of Maharashtra on 22 January, 2025",Supreme Court of India,2025-01-22,14,0,14,
Badrinarayana_Jaganathan_vs_The_State_Of_Karnataka_on_24_January_2025,154488728,"Badrinarayana Jaganathan vs The State Of Karnataka on 24 January, 2025",Supreme Court of India,2025-01-24,21,0,21,
Bernard_Francis_Joseph_Vaz_vs_Government_Of_Karnataka_on_2_January_2025,99751019,"Bernard Francis Joseph Vaz vs Government Of Karnataka on 2 January, 2025",Supreme Court of India,2025-01-02,42,0,42,
Bharat_Aambale_vs_The_State_Of_Chhattisgarh_on_6_January_2025,94312390,"Bharat Aambale vs The State Of Chhattisgarh on 6 January, 2025",Supreme Court of India,2025-01-06,30,0,30,
Bhudev_Mallick_Alias_Bhudeb_Mallick_vs_Ranajit_Ghoshal_on_17_January_2025,120896809,"Bhudev Mallick Alias Bhudeb Mallick vs Ranajit Ghoshal on 17 January, 2025",Supreme Court of India,2025-01-17,24,0,24,
Bishwajit_Dey_vs_The_State_Of_Assam_on_7_January_2025,113274670,"Bishwajit Dey vs The State Of Assam on 7 January, 2025",Supreme Court of India,2025-01-07,38,0,38,
Canara_Bank_vs_Ajithkumar_G_K_on_11_February_2025,177957839,"Canara Bank vs Ajithkumar G.K on 11 February, 2025",Supreme Court of India,2025-02-11,38,0,38,
Central_Bank_Of_India_vs_Smt_Prabha_Jain_on_9_January_2025,119367069,"Central Bank Of India vs Smt. Prabha Jain on 9 January, 2025",Supreme Court of India,2025-01-09,49,0,49,
Chief_Revenue_Controlling_Officer_Cum_vs_P_Babu_on_3_January_2025,32050845,"Chief Revenue Controlling Officer Cum ... vs P. Babu on 3 January, 2025",Supreme Court of India,2025-01-03,6,0,6,
Cuddalore_Powergen_Corporation_Ltd_vs_M_S_Chemplast_Cuddalore_Vinyls_Limited_on_15_January_2025,137854586,"Cuddalore Powergen Corporation Ltd vs M/S Chemplast Cuddalore Vinyls Limited ... on 15 January, 2025",Supreme Court of India,2025-01-15,33,0,33,
Dalip_Ram_vs_State_Of_Punjab_on_2_January_2025,141679914,"Dalip Ram vs State Of Punjab on 2 January, 2025",Supreme Court of India,2025-01-02,16,0,16,
Daljit_Singh_vs_The_State_Of_Haryana_on_2_January_2025,38030914,"Daljit Singh vs The State Of Haryana on 2 January, 2025",Supreme Court of India,2025-01-02,26,0,26,
Deen_Dayal_Tiwari_vs_State_Of_Uttar_Pradesh_on_16_January_2025,181108532,"Deen Dayal Tiwari vs State Of Uttar Pradesh on 16 January, 2025",Supreme Court of India,2025-01-16,16,0,16,
Delhi_Agricultural_Marketing_Board_vs_Bhagwan_Devi_D_Thr_Lr_on_20_March_2025,32409083,"Delhi Agricultural Marketing Board ... vs Bhagwan Devi (D) Thr Lr on 20 March, 2025",Supreme Court of India,2025-03-20,19,0,19,
Delhi_Dev_Authority_vs_S_G_G_Towers_P_Ltd_on_7_March_2025,111545111,"Delhi Dev. Authority vs S.G.G. Towers (P) Ltd on 7 March, 2025",Supreme Court of India,2025-03-07,6,0,6,
Edakkandi_Dineshan_P_Dineshan_vs_State_Of_Kerala_on_6_January_2025,44196946,"Edakkandi Dineshan@ P.Dineshan vs State Of Kerala on 6 January, 2025",Supreme Court of India,2025-01-06,17,0,17,
Gajendra_Singh_vs_Reena_Balmiki_on_26_March_2025,42875129,"Gajendra Singh vs Reena Balmiki on 26 March, 2025",Supreme Court of India,2025-03-26,6,0,6,
Gambhir_Singh_vs_The_State_Of_Uttar_Pradesh_on_28_January_2025,164237661,"Gambhir Singh vs The State Of Uttar Pradesh on 28 January, 2025",Supreme Court of India,2025-01-28,11,0,11,
Gangubai_Raghunath_Ayare_vs_Gangaram_Sakharam_Dhuri_D_Thr_His_on_17_March_2025,176927579,"Gangubai Raghunath Ayare vs Gangaram Sakharam Dhuri (D) Thr. His ... on 17 March, 2025",Supreme Court of India,2025-03-17,4,0,4,
Godrej_Projects_Development_Limited_vs_Anil_Karlekar_on_3_February_2025,65254917,"Godrej Projects Development Limited vs Anil Karlekar on 3 February, 2025",Supreme Court of India,2025-02-03,19,0,19,
Gopal_Krishan_vs_Daulat_Ram_on_2_January_2025,105871119,"Gopal Krishan vs Daulat Ram on 2 January, 2025",Supreme Court of India,2025-01-02,8,0,8,
H_Anjanappa_vs_A_Prabhakar_on_29_January_2025,63497145,"H. Anjanappa vs A. Prabhakar on 29 January, 2025",Supreme Court of India,2025-01-29,30,0,30,
Harshit_Harish_Jain_vs_The_State_Of_Maharashtra_on_24_January_2025,152941779,"Harshit Harish Jain vs The State Of Maharashtra on 24 January, 2025",Supreme Court of India,2025-01-24,19,0,19,
I_K_Merchants_Pvt_Ltd_vs_The_State_Of_Rajasthan_on_1_April_2025,18308457,"I.K. Merchants Pvt. Ltd vs The State Of Rajasthan on 1 April, 2025",Supreme Court of India,2025-04-01,21,0,21,
Independent_Sugar_Corporation_Limited_vs_Girish_Sriram_Juneja_on_29_January_2025,117249167,"Independent Sugar Corporation Limited vs Girish Sriram Juneja on 29 January, 2025",Supreme Court of India,2025-01-29,94,0,94,
Inder_Singh_vs_The_State_Of_Madhya_Pradesh_on_21_March_2025,136422828,"Inder Singh vs The State Of Madhya Pradesh on 21 March, 2025",Supreme Court of India,2025-03-21,21,0,21,
Indian_Evangelical_Lutheran_Church_vs_Sri_Bala_And_Co_on_8_January_2025,166999048,"Indian Evangelical Lutheran Church ... vs Sri Bala And Co on 8 January, 2025",Supreme Court of India,2025-01-08,30,0,30,
Irfan_Bhayu_Mevati_vs_The_State_Of_Madhya_Pradesh_on_16_January_2025,31392346,"Irfan @ Bhayu Mevati vs The State Of Madhya Pradesh on 16 January, 2025",Supreme Court of India,2025-01-16,27,0,27,
Jagwant_Kaur_vs_Union_Of_India_on_27_January_2025,132101707,"Jagwant Kaur vs Union Of India on 27 January, 2025",Supreme Court of India,2025-01-27,1,0,1,
Jaideep_Bose_vs_M_S_Bid_And_Hammer_Auctioneers_Private_on_18_February_2025,48742622,"Jaideep Bose vs M/S Bid And Hammer Auctioneers Private ... on 18 February, 2025",Supreme Court of India,2025-02-18,26,0,26,
Jay_Kishan_vs_The_State_Of_Uttar_Pradesh_on_12_February_2025,131505400,"Jay Kishan vs The State Of Uttar Pradesh on 12 February, 2025",Supreme Court of India,2025-02-12,40,0,40,
Jayshree_Kanabar_vs_State_Of_Maharashtra_on_2_January_2025,127562991,"Jayshree Kanabar vs State Of Maharashtra on 2 January, 2025",Supreme Court of India,2025-01-02,18,0,18,
Jit_Vinayak_Arolkar_vs_State_Of_Goa_And_Ors_on_6_January_2025,192323450,"Jit Vinayak Arolkar vs State Of Goa And Ors on 6 January, 2025",Supreme Court of India,2025-01-06,10,0,10,
Joyi_Kitty_Joseph_vs_Union_Of_India_on_6_March_2025,28642584,"Joyi Kitty Joseph vs Union Of India on 6 March, 2025",Supreme Court of India,2025-03-06,16,0,16,
Jyostnamayee_Mishra_vs_The_State_Of_Odisha_on_20_January_2025,66898976,"Jyostnamayee Mishra vs The State Of Odisha on 20 January, 2025",Supreme Court of India,2025-01-20,8,0,8,
Kanahaiya_Lal_Arya_vs_Md_Ehshan_on_25_February_2025,43314127,"Kanahaiya Lal Arya vs Md. Ehshan on 25 February, 2025",Supreme Court of India,2025-02-25,1,0,1,
Karan_Singh_vs_The_State_Of_Haryana_Home_Department_on_31_January_2025,91533980,"Karan Singh vs The State Of Haryana Home Department on 31 January, 2025",Supreme Court of India,2025-01-31,10,0,10,
Lalita_vs_Vishwanath_on_30_January_2025,26301648,"Lalita vs Vishwanath on 30 January, 2025",Supreme Court of India,2025-01-30,21,0,21,
Lavanya_C_vs_Vittal_Gurudas_Pai_Since_Deceased_By_Lrs_on_5_March_2025,54909522,"Lavanya C vs Vittal Gurudas Pai Since Deceased By Lrs ... on 5 March, 2025",Supreme Court of India,2025-03-05,20,0,20,
Leela_vs_Muruganantham_on_2_January_2025,187039328,"Leela vs Muruganantham on 2 January, 2025",Supreme Court of India,2025-01-02,5,0,5,
M_S_A_P_Electrical_Equipment_vs_The_Tahsildar_on_27_February_2025,177746361,"M/S A.P. Electrical Equipment ... vs The Tahsildar on 27 February, 2025",Supreme Court of India,2025-02-27,62,0,62,
M_S_Ananthamurthy_vs_J_Manjula_Etc_Etc_on_27_February_2025,16288354,"M.S. Ananthamurthy vs J. Manjula Etc.Etc on 27 February, 2025",Supreme Court of India,2025-02-27,43,0,43,
M_S_B_N_Padmanabhaiah_And_Sons_vs_R_N_Nadigar_on_14_February_2025,38841185,"M/S B N Padmanabhaiah And Sons vs R N Nadigar on 14 February, 2025",Supreme Court of India,2025-02-14,5,0,5,
M_S_Citicorp_Finance_India_Limited_vs_Snehasis_Nanda_on_20_March_2025,115787143,"M/S Citicorp Finance (India) Limited vs Snehasis Nanda on 20 March, 2025",Supreme Court of India,2025-03-20,16,0,16,
M_S_Faime_Makers_Pvt_Ltd_vs_District_Deputy_Registrar_on_1_April_2025,159125935,"M/S Faime Makers Pvt. Ltd vs District Deputy Registrar on 1 April, 2025",Supreme Court of India,2025-04-01,2,0,2,
M_S_Ferro_Concrete_Construction_vs_The_State_Of_Rajasthan_on_2_April_2025,107206835,"M/S Ferro Concrete Construction ... vs The State Of Rajasthan on 2 April, 2025",Supreme Court of India,2025-04-02,19,0,19,
M_S_Maxim_India_Integrated_Circuit_vs_Andappa_D_By_Lrs_And_Ors_Etc_Etc_on_2_January_2025,64824171,"M/S Maxim India Integrated Circuit ... vs Andappa (D) By Lrs. And Ors. .Etc .Etc on 2 January, 2025",Supreme Court of India,2025-01-02,4,0,4,
M_S_S_R_S_Travels_By_Its_Proprietor_K_T_vs_The_Karnataka_State_Road_Transport_on_6_February_2025,126797712,"M/S S.R.S Travels By Its Proprietor K.T. ... vs The Karnataka State Road Transport ... on 6 February, 2025",Supreme Court of India,2025-02-06,27,0,27,
M_S_Sanjay_vs_Indian_Bank_on_29_January_2025,183370304,"M.S. Sanjay vs Indian Bank on 29 January, 2025",Supreme Court of India,2025-01-29,7,0,7,
M_S_Tamil_Nadu_Cements_Corporation_Ltd_vs_Micro_And_Small_Enterprises_on_22_January_2025,65828442,"M/S Tamil Nadu Cements Corporation Ltd vs Micro And Small Enterprises ... on 22 January, 2025",Supreme Court of India,2025-01-22,41,0,41,
M_S_Tommorrowland_Limited_vs_Housing_And_Urban_Development_on_13_February_2025,163530633,"M/S. Tommorrowland Limited vs Housing And Urban Development ... on 13 February, 2025",Supreme Court of India,2025-02-13,6,0,6,
Mahabir_vs_The_State_Of_Haryana_on_29_January_2025,101605278,"Mahabir vs The State Of Haryana on 29 January, 2025",Supreme Court of India,2025-01-29,69,0,69,
Mahesh_vs_Sangram_on_2_January_2025,58127110,"Mahesh vs Sangram on 2 January, 2025",Supreme Court of India,2025-01-02,12,0,12,
Manish_vs_The_State_Of_Maharashtra_on_2_April_2025,185510705,"Manish vs The State Of Maharashtra on 2 April, 2025",Supreme Court of India,2025-04-02,12,0,12,
Maukam_Singh_vs_The_State_Of_Madhya_Pradesh_on_2_April_2025,6220343,"Maukam Singh vs The State Of Madhya Pradesh on 2 April, 2025",Supreme Court of India,2025-04-02,10,0,10,
Mehatar_vs_The_State_Of_Maharashtra_on_11_February_2025,132187999,"Mehatar vs The State Of Maharashtra on 11 February, 2025",Supreme Court of India,2025-02-11,5,0,5,
Murugan_vs_The_State_Rep_By_The_Inspector_Of_Police_on_4_April_2025,22366353,,,,0,0,0,522 Server Error: <none> for url: https://api.indiankanoon.org/doc/22366353/
Mypreferred_Transformation_And_vs_M_S_Faridabad_Implements_Pvt_Ltd_on_10_January_2025,65585365,,,,0,0,0,522 Server Error: <none> for url: https://api.indiankanoon.org/doc/65585365/
N_P_Saseendran_vs_N_P_Ponnamma_on_24_March_2025,66273855,"N.P. Saseendran vs N.P. Ponnamma on 24 March, 2025",Supreme Court of India,2025-03-24,69,0,69,
Naganna_Dead_By_Lrs___Smt_Devamma_vs_Siddaramegowda_Since_Deceased_By_Lrs_on_19_March_2025,187451124,"Naganna (Dead) By Lrs. / Smt Devamma vs Siddaramegowda (Since Deceased) By Lrs on 19 March, 2025",Supreme Court of India,2025-03-19,1,0,1,
Naresh_Aneja_Naresh_Kumar_Aneja_vs_The_State_Of_Uttar_Pradesh_on_2_January_2025,63536706,"Naresh Aneja @ Naresh Kumar Aneja vs The State Of Uttar Pradesh on 2 January, 2025",Supreme Court of India,2025-01-02,34,0,34,
Naushey_Ali_vs_State_Of_U_P_on_11_February_2025,84065051,"Naushey Ali vs State Of U.P on 11 February, 2025",Supreme Court of India,2025-02-11,21,0,21,
Nbcc_India_Ltd_vs_The_State_Of_West_Bengal_on_10_January_2025,79643818,"Nbcc (India) Ltd vs The State Of West Bengal on 10 January, 2025",Supreme Court of India,2025-01-10,60,0,60,
New_Mangalore_Port_Trust_vs_Clifford_D_Souza_Etc_Etc_on_3_April_2025,2913972,"New Mangalore Port Trust vs Clifford D Souza Etc. Etc on 3 April, 2025",Supreme Court of India,2025-04-03,12,0,12,
Om_Prakash_Ambadkar_vs_The_State_Of_Maharashtra_on_16_January_2025,141233097,"Om Prakash Ambadkar vs The State Of Maharashtra on 16 January, 2025",Supreme Court of India,2025-01-16,37,0,37,
Om_Prakash_Gupta_Alias_Lalloowa_Now_vs_Satish_Chandra_Now_Deceased_on_11_February_2025,12846086,"Om Prakash Gupta Alias Lalloowa (Now ... vs Satish Chandra (Now Deceased) on 11 February, 2025",Supreme Court of India,2025-02-11,14,0,14,
Om_Prakash_Israel_Raju_Raju_Das_vs_Union_Of_India_on_8_January_2025,57306606,,,,0,0,0,522 Server Error: <none> for url: https://api.indiankanoon.org/doc/57306606/
P_M_Lokanath_vs_State_Of_Karnataka_on_6_February_2025,146327678,,,,0,0,0,522 Server Error: <none> for url: https://api.indiankanoon.org/doc/146327678/
Pappammal_Died_Through_Lr_R_Krsna_vs_Jothi_on_27_February_2025,69744700,,,,0,0,0,523 Server Error: <none> for url: https://api.indiankanoon.org/doc/69744700/
Parminder_Singh_vs_Honey_Goyal_on_18_March_2025,30573200,,,,0,0,0,523 Server Error: <none> for url: https://api.indiankanoon.org/doc/30573200/
Periyammal_Dead_Thr_Lrs_vs_V_Rajamani_And_Anr_Etc_on_6_March_2025,160800474,"Periyammal (Dead Thr. Lrs.) vs V. Rajamani And Anr. Etc on 6 March, 2025",Supreme Court of India,2025-03-06,23,0,23,
Piramal_Capital_And_Housing_Finance_vs_63_Moons_Technologies_Limited_on_1_April_2025,190999006,"Piramal Capital And Housing Finance ... vs 63 Moons Technologies Limited) on 1 April, 2025",Supreme Court of India,2025-04-01,90,0,90,
Pradip_N_Sharma_vs_The_State_Of_Gujarat_on_28_February_2025,64086545,"Pradip N. Sharma vs The State Of Gujarat on 28 February, 2025",Supreme Court of India,2025-02-28,8,0,8,
Pushpa_Jagannath_Shetty_vs_Sahaj_Ankur_Realtors_on_28_February_2025,98556961,"Pushpa Jagannath Shetty vs Sahaj Ankur Realtors on 28 February, 2025",Supreme Court of India,2025-02-28,3,0,3,
Rabindranath_Panigrahi_vs_Surendra_Sahu_on_6_March_2025,137831744,"Rabindranath Panigrahi vs Surendra Sahu on 6 March, 2025",Supreme Court of India,2025-03-06,13,0,13,
Raja_Khan_vs_State_Of_Chhattisgarh_on_7_February_2025,76170038,"Raja Khan vs State Of Chhattisgarh on 7 February, 2025",Supreme Court of India,2025-02-07,17,0,17,
Ram_Kishan_Since_Deceased_Through_His_vs_State_Of_Haryana_on_3_April_2025,108050923,"Ram Kishan (Since Deceased) Through His ... vs State Of Haryana on 3 April, 2025",Supreme Court of India,2025-04-03,24,0,24,
Ram_Lal_vs_Jarnail_Singh_Now_Deceased_Through_on_25_February_2025,172921310,"Ram Lal vs Jarnail Singh (Now Deceased) Through ... on 25 February, 2025",Supreme Court of India,2025-02-25,18,0,18,
Ramesh_Baghel_vs_State_Of_Chhattisgarh_on_27_January_2025,93771079,"Ramesh Baghel vs State Of Chhattisgarh on 27 January, 2025",Supreme Court of India,2025-01-27,10,0,10,
Sachin_Jaiswal_vs_M_S_Hotel_Alka_Raje_on_27_February_2025,53172516,"Sachin Jaiswal vs M/S Hotel Alka Raje on 27 February, 2025",Supreme Court of India,2025-02-27,5,0,5,
Samtola_Devi_vs_The_State_Of_Uttar_Pradesh_on_27_March_2025,16204659,"Samtola Devi vs The State Of Uttar Pradesh on 27 March, 2025",Supreme Court of India,2025-03-27,5,0,5,
Sangita_Sinha_vs_Bhawana_Bhardwaj_on_4_April_2025,156623250,"Sangita Sinha vs Bhawana Bhardwaj on 4 April, 2025",Supreme Court of India,2025-04-04,23,0,23,
Sanjay_Dutt_vs_The_State_Of_Haryana_on_2_January_2025,187306114,"Sanjay Dutt vs The State Of Haryana on 2 January, 2025",Supreme Court of India,2025-01-02,18,0,18,
Sau_Jiya_vs_Kuldeep_on_31_January_2025,15616816,"Sau. Jiya vs Kuldeep on 31 January, 2025",Supreme Court of India,2025-01-31,9,0,9,
Sharmila_Velamur_vs_V_Sanjay_on_3_March_2025,8061557,"Sharmila Velamur vs V. Sanjay on 3 March, 2025",Supreme Court of India,2025-03-03,12,0,12,
Shri_Khereshwar_Mahadev_Va_Dauji_vs_The_State_Of_Uttar_Pradesh_on_5_March_2025,25932121,"Shri Khereshwar Mahadev Va Dauji ... vs The State Of Uttar Pradesh on 5 March, 2025",Supreme Court of India,2025-03-05,4,0,4,
Siba_Nial_Trilochan_vs_The_State_Of_Odisha_on_11_February_2025,94867012,"Siba Nial @ Trilochan vs The State Of Odisha on 11 February, 2025",Supreme Court of India,2025-02-11,3,0,3,
Sovaran_Singh_Prajapati_vs_The_State_Of_Uttar_Pradesh_on_4_February_2025,41463034,"Sovaran Singh Prajapati vs The State Of Uttar Pradesh on 4 February, 2025",Supreme Court of India,2025-02-04,69,0,69,
State_Of_Odisha_vs_Sudhansu_Sekhar_Jena_on_21_February_2025,151100020,"State Of Odisha vs Sudhansu Sekhar Jena on 21 February, 2025",Supreme Court of India,2025-02-21,5,0,5,
Sunkari_Tirumala_Rao_vs_Penki_Aruna_Kumari_on_17_January_2025,157298180,"Sunkari Tirumala Rao vs Penki Aruna Kumari on 17 January, 2025",Supreme Court of India,2025-01-17,7,0,7,
Tanaji_Shamrao_Kale_vs_The_State_Of_Maharashtra_on_5_March_2025,175251125,"Tanaji Shamrao Kale vs The State Of Maharashtra on 5 March, 2025",Supreme Court of India,2025-03-05,5,0,5,
The_Auroville_Foundation_vs_Navroz_Kersasp_Mody_on_17_March_2025,35714468,"The Auroville Foundation vs Navroz Kersasp Mody on 17 March, 2025",Supreme Court of India,2025-03-17,35,0,35,
The_Chief_Manager_Central_Bank_Of_India_vs_M_S_Ad_Bureau_Advertising_Pvt_Ltd_on_28_February_2025,55941115,"The Chief Manager Central Bank Of India vs M/S Ad Bureau Advertising Pvt Ltd on 28 February, 2025",Supreme Court of India,2025-02-28,8,0,8,
The_Cosmos_Co_Operative_Bank_Ltd_vs_Central_Bank_Of_India_on_4_February_2025,144487932,"The Cosmos Co Operative Bank Ltd vs Central Bank Of India on 4 February, 2025",Supreme Court of India,2025-02-04,60,0,60,
The_General_Manager_Business_Network_vs_P_Soundarya_on_2_April_2025,57016366,"The General Manager, Business Network ... vs P Soundarya on 2 April, 2025",Supreme Court of India,2025-04-02,10,0,10,
The_Municipal_Corporation_Of_Greater_vs_Century_Textiles_And_Industries_on_7_January_2025,187867095,"The Municipal Corporation Of Greater ... vs Century Textiles And Industries ... on 7 January, 2025",Supreme Court of India,2025-01-07,55,0,54,
The_State_Of_Goa_vs_Namita_Tripathi_on_3_March_2025,174327794,"The State Of Goa vs Namita Tripathi on 3 March, 2025",Supreme Court of India,2025-03-03,69,0,69,
The_State_Of_Jharkhand_vs_Nishkant_Dubey_on_21_January_2025,143483899,"The State Of Jharkhand vs Nishkant Dubey on 21 January, 2025",Supreme Court of India,2025-01-21,31,0,31,
The_State_Of_Karnataka_vs_T_N_Sudhakar_Reddy_on_17_February_2025,157464678,"The State Of Karnataka vs T.N. Sudhakar Reddy on 17 February, 2025",Supreme Court of India,2025-02-17,28,0,28,
The_State_Of_Kerala_vs_Moushmi_Ann_Jacob_on_20_February_2025,106678170,"The State Of Kerala vs Moushmi Ann Jacob on 20 February, 2025",Supreme Court of India,2025-02-20,17,0,17,
The_State_Of_Madhya_Pradesh_vs_Shyamlal_on_20_March_2025,119639715,"The State Of Madhya Pradesh vs Shyamlal on 20 March, 2025",Supreme Court of India,2025-03-20,11,0,11,
The_State_Of_Punjab_vs_M_S_Om_Prakash_Brick_Kiln_Owner_on_21_January_2025,106654709,"The State Of Punjab vs M/S. Om Prakash Brick Kiln Owner on 21 January, 2025",Supreme Court of India,2025-01-21,7,0,7,
The_State_Of_Uttar_Pradesh_vs_R_K_Pandey_on_9_January_2025,19054750,"The State Of Uttar Pradesh vs R.K Pandey on 9 January, 2025",Supreme Court of India,2025-01-09,10,0,10,
The_State_Of_West_Bengal_vs_Baishakhi_Bhattacharyya_Chatterjee_on_3_April_2025,22637432,"The State Of West Bengal vs Baishakhi Bhattacharyya (Chatterjee) on 3 April, 2025",Supreme Court of India,2025-04-03,23,0,23,
U_Sudheera_vs_C_Yashoda_on_17_January_2025,48318463,"U. Sudheera vs C. Yashoda on 17 January, 2025",Supreme Court of India,2025-01-17,20,0,20,
Umadevi_vs_Anand_Kumar_on_2_April_2025,7226738,"Umadevi vs Anand Kumar on 2 April, 2025",Supreme Court of India,2025-04-02,6,0,6,
Union_Of_India_vs_Future_Gaming_Solutions_P_Ltd_And_on_11_February_2025,117744026,"Union Of India vs Future Gaming Solutions P.Ltd. And ... on 11 February, 2025",Supreme Court of India,2025-02-11,68,0,68,
Vellore_Dist_Environment_vs_The_District_Collector_Vellore_on_30_January_2025,117290714,"Vellore Dist.Environment ... vs The District Collector Vellore ... on 30 January, 2025",Supreme Court of India,2025-01-30,48,0,48,
Vihaan_Kumar_vs_The_State_Of_Haryana_on_7_February_2025,74708490,"Vihaan Kumar vs The State Of Haryana on 7 February, 2025",Supreme Court of India,2025-02-07,30,0,30,
Vipin_Kumar_vs_Jaydeep_on_21_January_2025,113115747,"Vipin Kumar vs Jaydeep on 21 January, 2025",Supreme Court of India,2025-01-21,14,0,14,
Vishal_Shah_vs_Monalisha_Gupta_on_20_February_2025,97306350,"Vishal Shah vs Monalisha Gupta on 20 February, 2025",Supreme Court of India,2025-02-20,57,0,57,
